Número de Resolución,Enlace,Observation
92-2012-CCD,http://servicio.indecopi.gob.pe/buscadorResoluciones/getDoc?docID=workspace://SpacesStore/4fa582d8-c9f0-44b2-bb55-c0b60c9f7954,Failed - ChunkedEncodingError
100-2016-CCD-INDECOPI-JUN,http://servicio.indecopi.gob.pe/buscadorResoluciones/getDoc?docID=workspace://SpacesStore/ac88db68-c4e0-4aee-9e9e-641aea36023b,Failed - ChunkedEncodingError
